artist,album,track,listen_date,genre
Japanese Breakfast,Road Head,Road Head,"27 Dec 2018, 16:09","dream pop,seen live,indie,Lo-Fi,indie pop,indie rock,female vocalists,USA,pop,Pennsylvania"
Tiny Moving Parts,Swell,Applause,"27 Dec 2018, 16:06","emo,math rock,post-hardcore,screamo,midwest emo,seen live,indie rock,indie,Progressive,pop punk"
Neck Deep,Rain in July,A Part of Me (ft. Laura Whiteside),"27 Dec 2018, 16:03","pop punk,punk rock,rock,hardcore,alternative rock,punk,seen live,melodic hardcore,british,Straight Edge"
Weatherbox,Flies in All Directions,Bring Us the Head of Weatherbox,"27 Dec 2018, 15:59","seen live,indie,indie rock,emo,rock,alternative,san diego,alternative rock,experimental,Love"
Say Anything,Is A Real Boy,Every Man Has a Molly,"27 Dec 2018, 15:56","seen live,indie,alternative,rock,emo,indie rock,pop punk,punk,alternative rock,Say Anything"
The Front Bottoms,Going Grey,Vacation Town,"27 Dec 2018, 15:52","seen live,acoustic,folk,indie,Pop-punk,indie rock,emo,folk punk,rock,pop punk"
Sorority Noise,You're Not As _____ As You Think,Disappeared,"27 Dec 2018, 15:50","emo,indie rock,punk,indie,seen live,rock,alternative rock,connecticut,Dope,indie punk"
Japanese Breakfast,Japanese Breakfast on Audiotree Live,Jane Cum - Audiotree Live Version,"27 Dec 2018, 15:46","dream pop,seen live,indie,Lo-Fi,indie pop,indie rock,female vocalists,USA,pop,Pennsylvania"
Tiny Moving Parts,Pleasant Living,Always Focused,"27 Dec 2018, 15:44","emo,math rock,post-hardcore,screamo,midwest emo,seen live,indie rock,indie,Progressive,pop punk"
The Hotelier,"Home, Like Noplace Is There",In Framing,"27 Dec 2018, 15:41","emo,pop punk,indie rock,midwest emo,seen live,indie,punk,post-hardcore,emo revival,american"
The Hotelier,Goodness,Two Deliverances,"27 Dec 2018, 15:37","emo,pop punk,indie rock,midwest emo,seen live,indie,punk,post-hardcore,emo revival,american"
Say Anything,Is A Real Boy,Alive with the Glory of Love,"27 Dec 2018, 15:32","seen live,indie,alternative,rock,emo,indie rock,pop punk,punk,alternative rock,Say Anything"
Sorority Noise,Forgettable,"Blonde Hair, Black Lungs","27 Dec 2018, 15:29","emo,indie rock,punk,indie,seen live,rock,alternative rock,connecticut,Dope,indie punk"
Mom Jeans.,Puppy Love,near death fail comp (must watch til end),"27 Dec 2018, 15:26","emo,midwest emo,indie,punk,sparklepunk,indie rock,pop punk,twinkly,seen live,math rock"
Tigers Jaw,Spin,Guardian,"27 Dec 2018, 15:22","emo,pop punk,indie rock,indie,rock,seen live,punk,punk rock,Pop-punk,alternative rock"
Mom Jeans.,Best Buds,Edward 40hands,"27 Dec 2018, 15:17","emo,midwest emo,indie,punk,sparklepunk,indie rock,pop punk,twinkly,seen live,math rock"
Sorority Noise,Forgettable,Dirty Ickes,"27 Dec 2018, 15:15","emo,indie rock,punk,indie,seen live,rock,alternative rock,connecticut,Dope,indie punk"
The Front Bottoms,Going Grey,Peace Sign,"27 Dec 2018, 15:12","seen live,acoustic,folk,indie,Pop-punk,indie rock,emo,folk punk,rock,pop punk"
The Mountain Goats,The Sunset Tree,Up the Wolves,"27 Dec 2018, 15:08","indie,folk,Lo-Fi,seen live,singer-songwriter,indie rock,acoustic,indie folk,alternative,rock"
Elvis Presley,Blue Hawaii,Can't Help Falling in Love,"27 Dec 2018, 15:08","rock n roll,classic rock,rock,oldies,Rock and Roll,rockabilly,50s,60s,pop,american"
The Used,Gift Wrapped: 20 Songs That Keep on Giving,Alone This Holiday,"24 Dec 2018, 23:23","emo,screamo,rock,alternative,seen live,punk,alternative rock,punk rock,post-hardcore,emocore"
Jimmy Eat World,Bleed American (Deluxe Edition),Last Christmas - Studio Version,"24 Dec 2018, 23:19","rock,alternative,emo,alternative rock,seen live,indie,indie rock,punk,pop punk,punk rock"
Bright Eyes,A Christmas Album,Blue Christmas,"24 Dec 2018, 23:16","indie,singer-songwriter,folk,seen live,indie rock,emo,alternative,rock,acoustic,Bright Eyes"
Anarbor,Hopeless For The Holidays,West Coast Christmas,"24 Dec 2018, 23:14","pop punk,rock,indie,punk rock,indie pop,seen live,alternative,pop,Crash Coordinates,american"
Relient K,Let It Snow Baby...Let It Reindeer,12 Days of Christmas,"24 Dec 2018, 23:10","rock,pop punk,christian rock,christian,punk,seen live,alternative,emo,punk rock,alternative rock"
Fall Out Boy,Believers Never Die - The Greatest Hits,Yule Shoot Your Eye Out - Bonus Track,"24 Dec 2018, 23:03","pop punk,rock,emo,alternative,punk,seen live,punk rock,alternative rock,indie,Fall Out Boy"
The Format,Do You Hear What I Hear?,Holly Jolly Christmas,"24 Dec 2018, 22:59","indie,seen live,indie pop,alternative,indie rock,rock,emo,pop,The Format,favorites"
The Canon Logic,Kiss Me On Christmas,Kiss Me On Christmas,"24 Dec 2018, 22:55","indie rock,twee,rock,new york,piano,not emo,fucking incredible,seen live,indie,alternative"
Death Cab for Cutie,Maybe This Christmas Tree,Christmas (Baby Please Come Home),"24 Dec 2018, 22:51","indie,indie rock,alternative,seen live,rock,emo,indie pop,alternative rock,death cab for cutie,american"
The Weepies,Happiness,All That I Want,"24 Dec 2018, 22:47","folk,indie,singer-songwriter,acoustic,Mellow,indie folk,female vocalists,indie pop,american,seen live"
The Maine,... And A Happy New Year - EP,Santa Stole My Girlfriend,"24 Dec 2018, 22:43","pop punk,powerpop,indie,rock,emo,seen live,pop rock,alternative,the maine,indie rock"
Pretenders,Christmas Hits,2000 Miles - 2007 Remastered Version,"24 Dec 2018, 22:38","rock,80s,new wave,female vocalists,classic rock,seen live,pop,alternative,british,70s"
Slow Club,Christmas Thanks For Nothing EP,Christmas Thanks For Nothing,"24 Dec 2018, 22:35","folk,indie pop,british,indie,seen live,twee,female vocalists,indie folk,acoustic,indie rock"
Fifth Harmony,Ultimate... Christmas,All I Want for Christmas Is You,"24 Dec 2018, 22:30","pop,female vocalists,X factor,american,rnb,Fifth Harmony,dance,girl group,one direction,Girl Groups"
Mary J. Blige,A Mary Christmas,Have Yourself A Merry Little Christmas,"24 Dec 2018, 22:26","rnb,soul,female vocalists,Hip-Hop,urban,r&b,hip hop,mary j blige,pop,american"
Sufjan Stevens,Silver & Gold,Sleigh Ride,"24 Dec 2018, 22:23","indie,folk,singer-songwriter,alternative,indie rock,seen live,indie pop,indie folk,rock,acoustic"
Kelly Clarkson,Wrapped in Red,Underneath the Tree,"24 Dec 2018, 22:19","pop,female vocalists,pop rock,rock,Kelly Clarkson,American Idol,female,alternative,american,seen live"
Bright Eyes,A Christmas Album,Silver Bells,"24 Dec 2018, 22:13","indie,singer-songwriter,folk,seen live,indie rock,emo,alternative,rock,acoustic,Bright Eyes"
Fitz and the Tantrums,Santa Stole My Lady,Santa Stole My Lady,"24 Dec 2018, 22:09","soul,pop,seen live,indie,funk,blue eyed soul,indie pop,american,Blue-Eyed Soul,alternative"
Mariah Carey,Merry Christmas,O Holy Night,"24 Dec 2018, 22:04","pop,rnb,female vocalists,soul,Mariah Carey,Hip-Hop,90s,female,diva,american"
Sia,Everyday Is Christmas,Candy Cane Lane,"24 Dec 2018, 22:00","female vocalists,chillout,indie,trip-hop,downtempo,australian,pop,singer-songwriter,electronic,alternative"
Kylie Minogue,Kylie Christmas (Snow Queen Edition),I Wish It Could Be Christmas Everyday,"24 Dec 2018, 21:56","pop,dance,female vocalists,australian,electronic,Disco,80s,Kylie Minogue,seen live,female"
Chris Brown,This Christmas - Songs From The Motion Picture,This Christmas,"24 Dec 2018, 21:52","rnb,Hip-Hop,Chris Brown,rap,hip hop,pop,r&b,male vocalists,dance,american"
Saintseneca,Moon Barks At The Dog,Moon Barks At The Dog,"24 Dec 2018, 18:27","folk,seen live,indie,acoustic,indie folk,folk rock,indie-folk,USA,male vocalists,alternative"
Chastity Belt,I Used to Spend So Much Time Alone,Different Now,"24 Dec 2018, 18:23","indie rock,post-punk,indie,seen live,seattle,female vocalists,USA,rock,pop,washington"
Antarctigo Vespucci,Soulmate Stuff,Don't Die In Yr Hometown,"24 Dec 2018, 18:20","power pop,indie rock,pop punk,alternative rock,seen live,indie,alternative,fun,punk,emo"
Hazel English,Just Give In / Never Going Home,I'm Fine,"24 Dec 2018, 18:16","dream pop,indie,indie pop,female vocalists,seen live,australia,pop,alternative,USA,australian"
Coma Cinema,Loss Memory,Running Wide Open,"24 Dec 2018, 18:14","indie pop,Lo-Fi,chillwave,indie,dream pop,pop,BIRP,experimental,folk,indie rock"
Remember Sports,All of Something,Stunted,"24 Dec 2018, 18:11","indie,indie rock,seen live,emo,indie pop,pop punk"
Remember Sports,All of Something,Saturday,"24 Dec 2018, 18:10","indie,indie rock,seen live,emo,indie pop,pop punk"
Remember Sports,Sunchokes,Clean Jeans,"24 Dec 2018, 18:08","indie,indie rock,seen live,emo,indie pop,pop punk"
Remember Sports,Sunchokes,I Liked You Best,"24 Dec 2018, 18:04","indie,indie rock,seen live,emo,indie pop,pop punk"
Remember Sports,Sunchokes,Tiny Planets,"24 Dec 2018, 18:02","indie,indie rock,seen live,emo,indie pop,pop punk"
Remember Sports,All of Something,Get Bummed Out,"24 Dec 2018, 18:00","indie,indie rock,seen live,emo,indie pop,pop punk"
Thin Lips,Thin Lips on Audiotree Live,Sex Is Complicated - Audiotree Live Version,"24 Dec 2018, 17:57","seen live,punk,indie,Philadelphia,indie rock,power pop,queer,Pop-punk,Philly,emo-pop"
Thin Lips,Thin Lips on Audiotree Live,South America - Audiotree Live Version,"24 Dec 2018, 17:54","seen live,punk,indie,Philadelphia,indie rock,power pop,queer,Pop-punk,Philly,emo-pop"
Thin Lips,Thin Lips on Audiotree Live,Smoking's for Quitters - Audiotree Live Version,"24 Dec 2018, 17:51","seen live,punk,indie,Philadelphia,indie rock,power pop,queer,Pop-punk,Philly,emo-pop"
Thin Lips,Thin Lips on Audiotree Live,Gaslight Anthem (The Song Not the Band) - Audiotree Live Version,"24 Dec 2018, 17:47","seen live,punk,indie,Philadelphia,indie rock,power pop,queer,Pop-punk,Philly,emo-pop"
Thin Lips,Chosen Family,I Know That I'm the Asshole,"24 Dec 2018, 17:44","seen live,punk,indie,Philadelphia,indie rock,power pop,queer,Pop-punk,Philly,emo-pop"
Thin Lips,Riff Hard,DEB,"24 Dec 2018, 17:42","seen live,punk,indie,Philadelphia,indie rock,power pop,queer,Pop-punk,Philly,emo-pop"
Thin Lips,Chosen Family,What If I Saw You On The Street,"24 Dec 2018, 17:41","seen live,punk,indie,Philadelphia,indie rock,power pop,queer,Pop-punk,Philly,emo-pop"
Thin Lips,Chosen Family,South America,"24 Dec 2018, 17:38","seen live,punk,indie,Philadelphia,indie rock,power pop,queer,Pop-punk,Philly,emo-pop"
Thin Lips,Divorce Year,Nothing Weird,"24 Dec 2018, 17:35","seen live,punk,indie,Philadelphia,indie rock,power pop,queer,Pop-punk,Philly,emo-pop"
Thin Lips,Chosen Family,Smoking's For Quitters,"24 Dec 2018, 17:32","seen live,punk,indie,Philadelphia,indie rock,power pop,queer,Pop-punk,Philly,emo-pop"
Thin Lips,Split,Not Losing Sleep,"24 Dec 2018, 17:29","seen live,punk,indie,Philadelphia,indie rock,power pop,queer,Pop-punk,Philly,emo-pop"
Thin Lips,Chosen Family,A Song For Those Who Miss You All The Time,"24 Dec 2018, 17:25","seen live,punk,indie,Philadelphia,indie rock,power pop,queer,Pop-punk,Philly,emo-pop"
Thin Lips,Chosen Family,Gaslight Anthem (The Song Not The Band),"24 Dec 2018, 17:22","seen live,punk,indie,Philadelphia,indie rock,power pop,queer,Pop-punk,Philly,emo-pop"
Thin Lips,Riff Hard,Never Again,"24 Dec 2018, 17:19","seen live,punk,indie,Philadelphia,indie rock,power pop,queer,Pop-punk,Philly,emo-pop"
Camp Cope,How to Socialise & Make Friends,UFO Lighter,"24 Dec 2018, 17:15","indie,seen live,rock,indie rock,australia,punk,emo,australian,alternative rock,female vocalists"
Camp Cope,How to Socialise & Make Friends,Animal & Real,"24 Dec 2018, 17:12","indie,seen live,rock,indie rock,australia,punk,emo,australian,alternative rock,female vocalists"
Camp Cope,How to Socialise & Make Friends,The Omen,"24 Dec 2018, 17:08","indie,seen live,rock,indie rock,australia,punk,emo,australian,alternative rock,female vocalists"
Camp Cope,How to Socialise & Make Friends,Sagan-Indiana,"24 Dec 2018, 17:04","indie,seen live,rock,indie rock,australia,punk,emo,australian,alternative rock,female vocalists"
Camp Cope,How to Socialise & Make Friends,Anna,"24 Dec 2018, 16:58","indie,seen live,rock,indie rock,australia,punk,emo,australian,alternative rock,female vocalists"
Camp Cope,How to Socialise & Make Friends,The Face Of God,"24 Dec 2018, 16:54","indie,seen live,rock,indie rock,australia,punk,emo,australian,alternative rock,female vocalists"
Camp Cope,How to Socialise & Make Friends,How To Socialise & Make Friends,"24 Dec 2018, 16:51","indie,seen live,rock,indie rock,australia,punk,emo,australian,alternative rock,female vocalists"
Camp Cope,How to Socialise & Make Friends,The Opener,"24 Dec 2018, 16:47","indie,seen live,rock,indie rock,australia,punk,emo,australian,alternative rock,female vocalists"
Jimmy Eat World,Clarity (Expanded Edition),Lucky Denver Mint,"24 Dec 2018, 16:43","rock,alternative,emo,alternative rock,seen live,indie,indie rock,punk,pop punk,punk rock"
Jimmy Eat World,Clarity (Expanded Edition),12.23.95,"24 Dec 2018, 16:35","rock,alternative,emo,alternative rock,seen live,indie,indie rock,punk,pop punk,punk rock"
Frank Sinatra,Frank Sinatra Sings For Only The Lonely (Remastered),It's a Lonesome Old Town - Remastered,"24 Dec 2018, 02:27","jazz,swing,oldies,vocal jazz,easy listening,male vocalists,american,frank sinatra,Big Band,pop"
Frank Sinatra,She Shot Me Down,Bang Bang (My Baby Shot Me Down),"24 Dec 2018, 02:23","jazz,swing,oldies,vocal jazz,easy listening,male vocalists,american,frank sinatra,Big Band,pop"
Frank Sinatra,Sinatra Sings Gershwin,Someone to Watch over Me,"24 Dec 2018, 02:20","jazz,swing,oldies,vocal jazz,easy listening,male vocalists,american,frank sinatra,Big Band,pop"
Frank Sinatra,Sinatra ’65,My Kind of Town,"24 Dec 2018, 02:17","jazz,swing,oldies,vocal jazz,easy listening,male vocalists,american,frank sinatra,Big Band,pop"
Frank Sinatra,Classic Sinatra - His Great Performances 1953-1960,I've Got The World On A String - Remastered 2000,"24 Dec 2018, 02:15","jazz,swing,oldies,vocal jazz,easy listening,male vocalists,american,frank sinatra,Big Band,pop"
Frank Sinatra,Where Are You? (Remastered),Autumn Leaves - 1999 / Digital Remaster,"24 Dec 2018, 02:12","jazz,swing,oldies,vocal jazz,easy listening,male vocalists,american,frank sinatra,Big Band,pop"
Frank Sinatra,Nice 'N' Easy (Remastered),Nice 'n' Easy - Remastered,"24 Dec 2018, 02:09","jazz,swing,oldies,vocal jazz,easy listening,male vocalists,american,frank sinatra,Big Band,pop"
Frank Sinatra,Strangers In The Night (Expanded Edition),Strangers in the Night,"24 Dec 2018, 02:06","jazz,swing,oldies,vocal jazz,easy listening,male vocalists,american,frank sinatra,Big Band,pop"
Frank Sinatra,Come Dance With Me! (Remastered),Just In Time - 1998 Remaster,"24 Dec 2018, 02:04","jazz,swing,oldies,vocal jazz,easy listening,male vocalists,american,frank sinatra,Big Band,pop"
Frank Sinatra,The Columbia Years (1943-1952): The Complete Recordings,Put Your Dreams Away (For Another Day),"24 Dec 2018, 02:01","jazz,swing,oldies,vocal jazz,easy listening,male vocalists,american,frank sinatra,Big Band,pop"
Frank Sinatra,No One Cares (Remastered),Why Try to Change Me Now? - Remastered,"24 Dec 2018, 01:57","jazz,swing,oldies,vocal jazz,easy listening,male vocalists,american,frank sinatra,Big Band,pop"
Frank Sinatra,Come Fly With Me (Remastered),Moonlight in Vermont - Remastered,"24 Dec 2018, 01:54","jazz,swing,oldies,vocal jazz,easy listening,male vocalists,american,frank sinatra,Big Band,pop"
Frank Sinatra,Sinatra at the Sands,Angel Eyes - Live At The Sands Hotel And Casino/1966,"24 Dec 2018, 01:50","jazz,swing,oldies,vocal jazz,easy listening,male vocalists,american,frank sinatra,Big Band,pop"
Frank Sinatra,Close To You And More (Remastered),With Every Breath I Take - Remastered,"24 Dec 2018, 01:45","jazz,swing,oldies,vocal jazz,easy listening,male vocalists,american,frank sinatra,Big Band,pop"
Frank Sinatra,A Swingin' Affair! (Remastered),The Lady Is A Tramp - Remastered,"24 Dec 2018, 01:42","jazz,swing,oldies,vocal jazz,easy listening,male vocalists,american,frank sinatra,Big Band,pop"
Frank Sinatra,It Might As Well Be Swing,Fly Me to the Moon (In Other Words),"24 Dec 2018, 01:39","jazz,swing,oldies,vocal jazz,easy listening,male vocalists,american,frank sinatra,Big Band,pop"
Frank Sinatra,The World We Knew,Drinking Again,"24 Dec 2018, 01:36","jazz,swing,oldies,vocal jazz,easy listening,male vocalists,american,frank sinatra,Big Band,pop"
Frank Sinatra,The Concert Sinatra,Ol' Man River,"24 Dec 2018, 01:32","jazz,swing,oldies,vocal jazz,easy listening,male vocalists,american,frank sinatra,Big Band,pop"
Frank Sinatra,September Of My Years (Expanded Edition),It Was a Very Good Year,"24 Dec 2018, 01:27","jazz,swing,oldies,vocal jazz,easy listening,male vocalists,american,frank sinatra,Big Band,pop"
Frank Sinatra,Songs For Swingin' Lovers! (Remastered),I've Got You Under My Skin - Remastered 1998,"24 Dec 2018, 01:24","jazz,swing,oldies,vocal jazz,easy listening,male vocalists,american,frank sinatra,Big Band,pop"
Four Tops,Christmas Here With You,Silent Night,"24 Dec 2018, 01:19","soul,motown,60s,oldies,rhythm and blues,rnb,pop,the four tops,american,funk"
The Ronettes,Christmas Hits,Sleigh Ride,"24 Dec 2018, 01:16","60s,pop,soul,oldies,motown,female vocalists,girl group,Girl Groups,american,phil spector"
Vince Guaraldi Trio,A Charlie Brown Christmas [2012 Remastered & Expanded Edition],The Christmas Song,"24 Dec 2018, 01:13","jazz,piano,instrumental,jazz piano,christmas,Soundtrack,peanuts,cool jazz,jazz trio,Classical"
Ronan Keating,X-mas,Fairytale of New York,"24 Dec 2018, 01:10","pop,irish,male vocalists,ronan keating,brit pop,britpop,seen live,rock,british,90s"
Il Divo,The Classic Christmas Album,The Lord's Prayer,"24 Dec 2018, 01:07","Classical,pop opera,Il Divo,opera,pop,male vocalists,italian,contemporary classical,vocal,classical crossover"
Tony Bennett,Christmas Hits,Winter Wonderland,"24 Dec 2018, 01:05","jazz,swing,oldies,male vocalists,easy listening,vocal jazz,tony bennett,lounge,american,vocal"
Il Divo,The Classic Christmas Album,Over The Rainbow,"24 Dec 2018, 01:01","Classical,pop opera,Il Divo,opera,pop,male vocalists,italian,contemporary classical,vocal,classical crossover"
Mediæval Bæbes,Mistletoe & Wine,Love Me Broughte,"24 Dec 2018, 00:58","medieval,folk,female vocalists,celtic,ethereal,new age,Gothic,Classical,choral,british"
