artist,album,track,listen_date,genre
The National Parks,As We Ran,As We Ran,"14 Jun 2019, 21:46","electronic,minimal,seen live,folk,freeworm,Malian blues,rap,electro,laidback,afro-caribbean"
Kesha,Animal (Expanded Edition),TiK ToK,"14 Jun 2019, 21:43","pop,dance,electropop,female vocalists,electronic,american,kesha,whorecore,seen live,female vocalist"
Diva Sweetly,In The Living Room,Wax On My Candles,"14 Jun 2019, 21:40",
Fire is Motion,"Still, I Try",Yesterday's Coffee,"14 Jun 2019, 21:36","folk,acoustic,indie,indie folk,discover,cap'n jazz,BIRP"
The Rupert Selection,Baseball Practice,Mooncats in Taxicabs,"14 Jun 2019, 21:28","Progressive rock,USA,male vocal"
Cloud Gavin,Recycle and Create,Mountain,"14 Jun 2019, 21:22","indie,alternative,alternative rock,emo,indie rock,post-hardcore,post hardcore,emoposthardcoreshit"
Bryce Dessner,Music for Wood and Strings,Section 8,"14 Jun 2019, 20:41","seen live,contemporary classical,modern classical,Soundtrack,Classical,USA,minimal,american,minimalism,film score"
lanclier,Ballad of the Modern Age,Never Leave,"14 Jun 2019, 20:37",
3nd,World Tour,waltz for lilly,"14 Jun 2019, 20:33","post-rock,japanese,instrumental,math rock,Progressive rock,Progressive,japan,post rock,instrumental rock,Math-rock"
Yotam Perel,Eraser Dust,Particles,"14 Jun 2019, 20:29","acoustic,indie,covers,comedy,indie pop,indie rock,sad,other,guitar,fun"
Gulfer,Dog Bless,Fading,"14 Jun 2019, 20:26","seen live,emo,math rock,indie,Canadian,punk,indie rock,live,math,math pop"
Major League,Hard Feelings,Homewrecker,"14 Jun 2019, 20:23","pop punk,Easycore,hardcore,trance,rap,Pop-punk,alternative rock,punk,Hip-Hop,seen live"
Seaway,Sabrina The Teenage Bitch,Sabrina The Teenage Bitch,"14 Jun 2019, 20:21","pop punk,Canadian,melodic punk,seen live,emo,cool as fuck,punk,canada,punk rock,rock"
The Wonder Years,Sleeping on Trash: A Collection of Songs Recorded 2005-2010,"Cheap Shots, Youth Anthems","14 Jun 2019, 20:19","pop punk,melodic hardcore,seen live,punk,beardcore,melodic punk,Easycore,punk rock,hardcore,Pop-punk"
Frank Turner,Love Ire & Song,Love Ire & Song,"14 Jun 2019, 20:15","seen live,folk,singer-songwriter,acoustic,british,indie,folk punk,punk,folk rock,rock"
Frank Turner,Love Ire & Song,I Knew Prufrock Before He Got Famous,"14 Jun 2019, 20:10","seen live,folk,singer-songwriter,acoustic,british,indie,folk punk,punk,folk rock,rock"
Hop Along,"Bark Your Head Off, Dog",How Simple,"14 Jun 2019, 20:06","indie,seen live,folk,indie rock,female vocalists,emo,indie folk,american,freak folk,folk punk"
Pet Symmetry,Reflection,Pet Sematary,"14 Jun 2019, 20:02","emo,pop punk,power pop,punk,indie,indie rock,midwest emo,seen live,pop,alternative rock"
Pet Symmetry,Reflection,Periodontal,"14 Jun 2019, 20:01","emo,pop punk,power pop,punk,indie,indie rock,midwest emo,seen live,pop,alternative rock"
Pet Symmetry,Reflection,Ends With Benefits,"14 Jun 2019, 19:58","emo,pop punk,power pop,punk,indie,indie rock,midwest emo,seen live,pop,alternative rock"
Remo Drive,Pop Music,Heartstrings,"14 Jun 2019, 19:55","emo,punk,indie rock,pop punk,indie,post-hardcore,Minnesota,midwest emo,emo revival,seen live"
Remo Drive,Pop Music,Song of the Summer,"14 Jun 2019, 19:52","emo,punk,indie rock,pop punk,indie,post-hardcore,Minnesota,midwest emo,emo revival,seen live"
Remo Drive,Pop Music,Blue Ribbon,"14 Jun 2019, 19:50","emo,punk,indie rock,pop punk,indie,post-hardcore,Minnesota,midwest emo,emo revival,seen live"
The Postal Service,Give Up (Deluxe 10th Anniversary Edition),Suddenly Everything Has Changed - Remastered,"14 Jun 2019, 19:44","indie,electronic,indie pop,alternative,electronica,indie rock,rock,emo,indietronica,pop"
The Postal Service,Give Up (Deluxe 10th Anniversary Edition),There's Never Enough Time - Remastered,"14 Jun 2019, 19:38","indie,electronic,indie pop,alternative,electronica,indie rock,rock,emo,indietronica,pop"
The Postal Service,Give Up (Deluxe 10th Anniversary Edition),Be Still My Heart - Remastered,"14 Jun 2019, 19:35","indie,electronic,indie pop,alternative,electronica,indie rock,rock,emo,indietronica,pop"
The Postal Service,Give Up (Deluxe 10th Anniversary Edition),A Tattered Line of String,"14 Jun 2019, 19:32","indie,electronic,indie pop,alternative,electronica,indie rock,rock,emo,indietronica,pop"
The Postal Service,Give Up (Deluxe 10th Anniversary Edition),Turn Around,"14 Jun 2019, 19:28","indie,electronic,indie pop,alternative,electronica,indie rock,rock,emo,indietronica,pop"
The Postal Service,Give Up (Deluxe 10th Anniversary Edition),Natural Anthem - Remastered,"14 Jun 2019, 19:05","indie,electronic,indie pop,alternative,electronica,indie rock,rock,emo,indietronica,pop"
The Postal Service,Give Up (Deluxe 10th Anniversary Edition),Brand New Colony - Remastered,"14 Jun 2019, 19:00","indie,electronic,indie pop,alternative,electronica,indie rock,rock,emo,indietronica,pop"
The Postal Service,Give Up (Deluxe 10th Anniversary Edition),This Place Is a Prison - Remastered,"14 Jun 2019, 18:57","indie,electronic,indie pop,alternative,electronica,indie rock,rock,emo,indietronica,pop"
The Postal Service,Give Up (Deluxe 10th Anniversary Edition),We Will Become Silhouettes - Remastered,"14 Jun 2019, 18:52","indie,electronic,indie pop,alternative,electronica,indie rock,rock,emo,indietronica,pop"
The Postal Service,Give Up (Deluxe 10th Anniversary Edition),Clark Gable - Remastered,"14 Jun 2019, 18:47","indie,electronic,indie pop,alternative,electronica,indie rock,rock,emo,indietronica,pop"
The Postal Service,Give Up (Deluxe 10th Anniversary Edition),Recycled Air - Remastered,"14 Jun 2019, 18:42","indie,electronic,indie pop,alternative,electronica,indie rock,rock,emo,indietronica,pop"
The Postal Service,Give Up (Deluxe 10th Anniversary Edition),Nothing Better - Remastered,"14 Jun 2019, 18:38","indie,electronic,indie pop,alternative,electronica,indie rock,rock,emo,indietronica,pop"
The Postal Service,Give Up (Deluxe 10th Anniversary Edition),Sleeping In - Remastered,"14 Jun 2019, 18:34","indie,electronic,indie pop,alternative,electronica,indie rock,rock,emo,indietronica,pop"
The Postal Service,Give Up (Deluxe 10th Anniversary Edition),Such Great Heights - Remastered,"14 Jun 2019, 18:30","indie,electronic,indie pop,alternative,electronica,indie rock,rock,emo,indietronica,pop"
The Postal Service,Give Up (Deluxe 10th Anniversary Edition),The District Sleeps Alone Tonight - Remastered,"14 Jun 2019, 18:25","indie,electronic,indie pop,alternative,electronica,indie rock,rock,emo,indietronica,pop"
Death Cab for Cutie,Something About Airplanes,Line of Best Fit,"14 Jun 2019, 18:17","indie,indie rock,alternative,seen live,rock,emo,indie pop,alternative rock,death cab for cutie,american"
Death Cab for Cutie,Something About Airplanes,Fake Frowns,"14 Jun 2019, 18:12","indie,indie rock,alternative,seen live,rock,emo,indie pop,alternative rock,death cab for cutie,american"
Death Cab for Cutie,Something About Airplanes,Amputations,"14 Jun 2019, 18:07","indie,indie rock,alternative,seen live,rock,emo,indie pop,alternative rock,death cab for cutie,american"
Death Cab for Cutie,Something About Airplanes,The Face That Launched 1000 Shits,"14 Jun 2019, 18:04","indie,indie rock,alternative,seen live,rock,emo,indie pop,alternative rock,death cab for cutie,american"
Death Cab for Cutie,Something About Airplanes,Sleep Spent,"14 Jun 2019, 18:00","indie,indie rock,alternative,seen live,rock,emo,indie pop,alternative rock,death cab for cutie,american"
Death Cab for Cutie,Something About Airplanes,Pictures in a exhibition,"14 Jun 2019, 17:56","indie,indie rock,alternative,seen live,rock,emo,indie pop,alternative rock,death cab for cutie,american"
Death Cab for Cutie,Something About Airplanes,Your Bruise,"14 Jun 2019, 17:52","indie,indie rock,alternative,seen live,rock,emo,indie pop,alternative rock,death cab for cutie,american"
Death Cab for Cutie,Something About Airplanes,Champagne From a Paper Cup,"14 Jun 2019, 17:49","indie,indie rock,alternative,seen live,rock,emo,indie pop,alternative rock,death cab for cutie,american"
Death Cab for Cutie,Something About Airplanes,President of What?,"14 Jun 2019, 17:45","indie,indie rock,alternative,seen live,rock,emo,indie pop,alternative rock,death cab for cutie,american"
Death Cab for Cutie,Something About Airplanes,Bend to Squares,"14 Jun 2019, 17:41","indie,indie rock,alternative,seen live,rock,emo,indie pop,alternative rock,death cab for cutie,american"
Death Cab for Cutie,We Have the Facts and We're Voting Yes,Scientist Studies,"14 Jun 2019, 17:34","indie,indie rock,alternative,seen live,rock,emo,indie pop,alternative rock,death cab for cutie,american"
Death Cab for Cutie,We Have the Facts and We're Voting Yes,No Joy in Mudville,"14 Jun 2019, 17:28","indie,indie rock,alternative,seen live,rock,emo,indie pop,alternative rock,death cab for cutie,american"
Death Cab for Cutie,We Have the Facts and We're Voting Yes,Company Calls Epilogue,"14 Jun 2019, 17:23","indie,indie rock,alternative,seen live,rock,emo,indie pop,alternative rock,death cab for cutie,american"
Death Cab for Cutie,We Have the Facts and We're Voting Yes,Company Calls,"14 Jun 2019, 17:20","indie,indie rock,alternative,seen live,rock,emo,indie pop,alternative rock,death cab for cutie,american"
Death Cab for Cutie,We Have the Facts and We're Voting Yes,Little Fury Bugs,"14 Jun 2019, 17:16","indie,indie rock,alternative,seen live,rock,emo,indie pop,alternative rock,death cab for cutie,american"
Death Cab for Cutie,We Have the Facts and We're Voting Yes,405,"14 Jun 2019, 17:12","indie,indie rock,alternative,seen live,rock,emo,indie pop,alternative rock,death cab for cutie,american"
Death Cab for Cutie,We Have the Facts and We're Voting Yes,"Lowell, MA","14 Jun 2019, 17:09","indie,indie rock,alternative,seen live,rock,emo,indie pop,alternative rock,death cab for cutie,american"
Death Cab for Cutie,We Have the Facts and We're Voting Yes,For What Reason,"14 Jun 2019, 17:06","indie,indie rock,alternative,seen live,rock,emo,indie pop,alternative rock,death cab for cutie,american"
Death Cab for Cutie,We Have the Facts and We're Voting Yes,The Employment Pages,"14 Jun 2019, 17:02","indie,indie rock,alternative,seen live,rock,emo,indie pop,alternative rock,death cab for cutie,american"
Death Cab for Cutie,We Have the Facts and We're Voting Yes,Title Track,"14 Jun 2019, 16:58","indie,indie rock,alternative,seen live,rock,emo,indie pop,alternative rock,death cab for cutie,american"
(Sandy) Alex G,Gretel,Gretel,"14 Jun 2019, 16:55","seen live,Lo-Fi,indie pop,indie rock,baroque pop,USA,indie folk,electronic,indie,pop"
Pixies,On Graveyard Hill,On Graveyard Hill,"14 Jun 2019, 16:51","alternative,indie,rock,alternative rock,indie rock,seen live,punk,Grunge,80s,post-punk"
Andy Grammer,My Own Hero / Don't Give Up On Me,My Own Hero,"14 Jun 2019, 16:43","pop,singer-songwriter,acoustic,seen live,los angeles,american,Mellow,happy,male vocalist,male vocalists"
Prince Daddy & The Hyena,C'mon & Smoke Me Up,C'mon & Smoke Me Up,"14 Jun 2019, 16:41","emo,punk,indie,Grunge,Surf,indie rock,power pop,Lo-Fi,Garage Rock,garage"
Lo Stato Sociale,DJ di M****,DJ di M**** (feat. Arisa & M¥SS KETA),"14 Jun 2019, 16:38","italian,indie,electropop,seen live,electronic,pop,indie pop,alternative,indie rock,Electro Pop"
Bad Books,UFO,UFO,"14 Jun 2019, 16:35","indie,folk,indie rock,folk rock,alternative,alternative rock,seen live,rock,american,indie folk"
Death Cab for Cutie,When We Drive,When We Drive - Acoustic Version,"14 Jun 2019, 16:29","indie,indie rock,alternative,seen live,rock,emo,indie pop,alternative rock,death cab for cutie,american"
Hiss Golden Messenger,I Need a Teacher,I Need a Teacher,"14 Jun 2019, 16:25","folk,Alt-country,seen live,folk rock,americana,All,country,singer-songwriter,USA,american"
Royal Teeth,Get a Load of This One,Get a Load of This One,"14 Jun 2019, 16:22","indie,indie pop,indie rock,american,New Orleans,seen live,USA,rock,All,pop"
MKTO,Shoulda Known Better,Shoulda Known Better,"14 Jun 2019, 16:18","pop,alternative,indie,indie pop,alternative rock,american,male vocalists,indie rock,USA,rock"
San Holo,Lost Lately,Lost Lately,"14 Jun 2019, 16:12","electronic,trap,future bass,seen live,dutch,dubstep,breakbeat,beats,future,10s"
Flume,Let You Know,Let You Know,"14 Jun 2019, 16:09","electronic,chillout,seen live,instrumental hip-hop,australian,hip hop,Hip-Hop,wonky,downtempo,glitch-hop"
Mitsunami,Hark,Hark,"14 Jun 2019, 16:06",
Local Natives,When Am I Gonna Lose You (Joey Pecoraro Remix),When Am I Gonna Lose You - Joey Pecoraro Remix,"14 Jun 2019, 16:02","indie,indie rock,seen live,folk,indie pop,freak folk,american,indie folk,rock,alternative"
Freddie Gibbs,Giannis (feat. Anderson .Paak),Giannis (feat. Anderson .Paak),"14 Jun 2019, 15:59","Hip-Hop,rap,Gangsta Rap,underground hip-hop,seen live,hip hop,american,Indiana,trap rap,Midwest"
Resavoir,Escalator (feat. Sen Morimoto),Escalator (feat. Sen Morimoto),"14 Jun 2019, 15:55",jazz
Calexico,Years to Burn,Years to Burn,"14 Jun 2019, 15:51","Alt-country,indie,seen live,americana,folk,indie rock,alternative,rock,country,american"
Hippo Campus,Demos I,Anxious - Demo,"14 Jun 2019, 15:33","indie pop,indie,pop,Minnesota,indie rock,Minneapolis,seen live,rock,USA,american"
All Get Out,Northport Sessions,Northport,"14 Jun 2019, 15:30","indie rock,indie,seen live,rock,folk,alternative rock,post-hardcore,south carolina,sounds so sincere I could die,alternative"
Hunter Hayes,One Good Reason,One Good Reason,"14 Jun 2019, 15:27","country,male vocalists,Country-Pop,country rock,contemporary country,soul,country pop,seen live,pop,cajun"
Bastille,Doom Days,Another Place,"14 Jun 2019, 15:23","indie,electronic,alternative,british,seen live,House,indie rock,indie pop,pop,alternative rock"
Mat Kearney,All I Have,All I Have,"14 Jun 2019, 15:18","singer-songwriter,acoustic,indie,alternative,rock,seen live,pop,christian,male vocalists,american"
The Menzingers,No Penance b/w Cemetery's Garden,No Penance,"14 Jun 2019, 15:14","punk rock,punk,seen live,pop punk,melodic punk,orgcore,rock,american,Pop-punk,Pennsylvania"
Martin Garrix,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) [Haywyre Remix],Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Haywyre Remix,"14 Jun 2019, 15:10","House,electronic,dance,seen live,electropop,pop,electro house,dutch,Progressive House,big room"
Julien Baker,Red Door / Conversation Piece,Conversation Piece,"14 Jun 2019, 15:06","indie,singer-songwriter,seen live,folk,acoustic,indie folk,female vocalists,alternative rock,emo,slowcore"
Julien Baker,Red Door / Conversation Piece,Red Door,"14 Jun 2019, 15:01","indie,singer-songwriter,seen live,folk,acoustic,indie folk,female vocalists,alternative rock,emo,slowcore"
TTNG,This Town Needs Guns,26 Is Dancier Than 4,"14 Jun 2019, 14:56","seen live,math rock,indie,emo,indie rock,Progressive rock,post-rock,math pop,rock,british"
TTNG,This Town Needs Guns,"If I Sit Still, Maybe I'll Get Out of Here","14 Jun 2019, 14:50","seen live,math rock,indie,emo,indie rock,Progressive rock,post-rock,math pop,rock,british"
Taylor Swift,You Need to Calm Down,You Need to Calm Down,"14 Jun 2019, 13:56","country,pop,female vocalists,singer-songwriter,acoustic,taylor swift,country pop,american,seen live,female"
blink-182,Enema of the State,Mutt,"14 Jun 2019, 02:04","punk rock,pop punk,punk,rock,alternative,seen live,Pop-punk,alternative rock,emo,american"
blink-182,Enema of the State,Aliens Exist,"14 Jun 2019, 01:55","punk rock,pop punk,punk,rock,alternative,seen live,Pop-punk,alternative rock,emo,american"
blink-182,California,She's out of Her Mind,"14 Jun 2019, 01:52","punk rock,pop punk,punk,rock,alternative,seen live,Pop-punk,alternative rock,emo,american"
blink-182,Blink-182 (Explicit Version) [Explicit Version],Feeling This,"14 Jun 2019, 01:49","punk rock,pop punk,punk,rock,alternative,seen live,Pop-punk,alternative rock,emo,american"
blink-182,blink-182,Easy Target,"14 Jun 2019, 01:47","punk rock,pop punk,punk,rock,alternative,seen live,Pop-punk,alternative rock,emo,american"
blink-182,blink-182,Down,"14 Jun 2019, 01:43","punk rock,pop punk,punk,rock,alternative,seen live,Pop-punk,alternative rock,emo,american"
blink-182,blink-182,Down,"14 Jun 2019, 01:40","punk rock,pop punk,punk,rock,alternative,seen live,Pop-punk,alternative rock,emo,american"
Bright Eyes,"I'm Wide Awake, It's Morning (Remastered)",Train Under Water,"13 Jun 2019, 22:51","indie,singer-songwriter,folk,seen live,indie rock,emo,alternative,rock,acoustic,Bright Eyes"
Bright Eyes,"I'm Wide Awake, It's Morning (Remastered)",Lua,"13 Jun 2019, 22:47","indie,singer-songwriter,folk,seen live,indie rock,emo,alternative,rock,acoustic,Bright Eyes"
Bright Eyes,"I'm Wide Awake, It's Morning (Remastered)",Old Soul Song (For the New World Order),"13 Jun 2019, 22:35","indie,singer-songwriter,folk,seen live,indie rock,emo,alternative,rock,acoustic,Bright Eyes"
Bright Eyes,"I'm Wide Awake, It's Morning (Remastered)",We Are Nowhere and It's Now,"13 Jun 2019, 22:31","indie,singer-songwriter,folk,seen live,indie rock,emo,alternative,rock,acoustic,Bright Eyes"
Bright Eyes,"I'm Wide Awake, It's Morning (Remastered)",At the Bottom of Everything,"13 Jun 2019, 22:27","indie,singer-songwriter,folk,seen live,indie rock,emo,alternative,rock,acoustic,Bright Eyes"
Snail Mail,Lush,Anytime,"13 Jun 2019, 22:19","indie,seen live,Lo-Fi,indie rock,folk,pop,indie pop,female vocalists,singer-songwriter,USA"
Snail Mail,Lush,Deep Sea,"13 Jun 2019, 22:15","indie,seen live,Lo-Fi,indie rock,folk,pop,indie pop,female vocalists,singer-songwriter,USA"
Snail Mail,Lush,Full Control,"13 Jun 2019, 22:12","indie,seen live,Lo-Fi,indie rock,folk,pop,indie pop,female vocalists,singer-songwriter,USA"
Snail Mail,Lush,Golden Dream,"13 Jun 2019, 22:08","indie,seen live,Lo-Fi,indie rock,folk,pop,indie pop,female vocalists,singer-songwriter,USA"
Snail Mail,Lush,Let's Find An Out,"13 Jun 2019, 22:06","indie,seen live,Lo-Fi,indie rock,folk,pop,indie pop,female vocalists,singer-songwriter,USA"
Snail Mail,Lush,Stick,"13 Jun 2019, 22:01","indie,seen live,Lo-Fi,indie rock,folk,pop,indie pop,female vocalists,singer-songwriter,USA"
Snail Mail,Lush,Heat Wave,"13 Jun 2019, 21:52","indie,seen live,Lo-Fi,indie rock,folk,pop,indie pop,female vocalists,singer-songwriter,USA"
Snail Mail,Lush,Speaking Terms,"13 Jun 2019, 21:48","indie,seen live,Lo-Fi,indie rock,folk,pop,indie pop,female vocalists,singer-songwriter,USA"
Snail Mail,Lush,Pristine,"13 Jun 2019, 21:43","indie,seen live,Lo-Fi,indie rock,folk,pop,indie pop,female vocalists,singer-songwriter,USA"
Snail Mail,Lush,Intro,"13 Jun 2019, 21:42","indie,seen live,Lo-Fi,indie rock,folk,pop,indie pop,female vocalists,singer-songwriter,USA"
Petite League,White Knuckle Wildflower,White Knuckle Wildflower,"13 Jun 2019, 21:39","indie,indie pop,size and weight"
Howard,Together Alone,Mother's Wedding,"13 Jun 2019, 21:35","indie,australian,idm,electronic,seen live,electronica,folk,USA,organ,glitch"
Spaceface,Single Star,Single Star,"13 Jun 2019, 21:32","Psychedelic Rock,Stoner Rock,Progressive rock,psychedelic,memphis,seen live,rock,hardcore,USA,Lo-Fi"
Halfloves,A Little Lie,A Little Lie,"13 Jun 2019, 21:28",
Derek Ted,Lu,Lu,"13 Jun 2019, 21:26","indie,pop,emo,folk,songwriter"
Reptaliens,FM-2030,666Bus,"13 Jun 2019, 21:23","indie,dream pop,indie rock,american,portland,portland oregon"
The Winter Passing,Original Sin,Original Sin,"13 Jun 2019, 21:19","emo,indie,pop punk,alternative,punk rock,ireland,emo-punk"
toe,HEAR YOU,Song Silly,"13 Jun 2019, 21:14","post-rock,math rock,instrumental,japanese,post rock,experimental,indie,seen live,rock,japan"
Delete Insert,Chess,Chess,"13 Jun 2019, 21:12","instrumental,math rock,Progressive rock,prog,instrumental rock,Progressive"
Rosie Tucker,Never Not Never Not Never Not,Spinster Cycle,"13 Jun 2019, 21:09",trans and gender diverse
Insignificant Other,i'm so glad i feel this way about you,i'm so glad i feel this way about you,"13 Jun 2019, 21:07","emo,acoustic,indie,sad,singer-songwriter,Lo-Fi,quirky,pop punk,emotional,diy"
TTNG,Animals,26 Is Dancier Than 4,"13 Jun 2019, 21:01","seen live,math rock,indie,emo,indie rock,Progressive rock,post-rock,math pop,rock,british"
TTNG,Animals,"If I Sit Still, Maybe I'll Get Out of Here","13 Jun 2019, 20:55","seen live,math rock,indie,emo,indie rock,Progressive rock,post-rock,math pop,rock,british"
TTNG,Animals,Zebra,"13 Jun 2019, 20:53","seen live,math rock,indie,emo,indie rock,Progressive rock,post-rock,math pop,rock,british"
TTNG,Animals,Lemur,"13 Jun 2019, 20:50","seen live,math rock,indie,emo,indie rock,Progressive rock,post-rock,math pop,rock,british"
TTNG,Animals,Dog,"13 Jun 2019, 20:47","seen live,math rock,indie,emo,indie rock,Progressive rock,post-rock,math pop,rock,british"
TTNG,Animals,Chinchilla,"13 Jun 2019, 20:42","seen live,math rock,indie,emo,indie rock,Progressive rock,post-rock,math pop,rock,british"
TTNG,Animals,Quetzel,"13 Jun 2019, 20:42","seen live,math rock,indie,emo,indie rock,Progressive rock,post-rock,math pop,rock,british"
TTNG,Animals,Crocodile,"13 Jun 2019, 20:39","seen live,math rock,indie,emo,indie rock,Progressive rock,post-rock,math pop,rock,british"
TTNG,Animals,Elk,"13 Jun 2019, 20:35","seen live,math rock,indie,emo,indie rock,Progressive rock,post-rock,math pop,rock,british"
TTNG,Animals,Badger,"13 Jun 2019, 20:30","seen live,math rock,indie,emo,indie rock,Progressive rock,post-rock,math pop,rock,british"
TTNG,Animals,Rabbit,"13 Jun 2019, 20:26","seen live,math rock,indie,emo,indie rock,Progressive rock,post-rock,math pop,rock,british"
TTNG,Animals,Gibbon,"13 Jun 2019, 20:21","seen live,math rock,indie,emo,indie rock,Progressive rock,post-rock,math pop,rock,british"
