artist,album,song,listen_date,genre
Muse,Showbiz (09 Version),Sunburn,"29 Dec 2017, 21:20","alternative rock,rock,alternative,Progressive rock,seen live,indie,british,indie rock,britpop,Muse"
Carly Rae Jepsen,Call Me Maybe,Call Me Maybe,"29 Dec 2017, 21:17","pop,Canadian,female vocalists,folk,acoustic,dance,Carly Rae Jepsen,synthpop,canada,seen live"
Third Eye Blind,Out of the Vein,Faster,"29 Dec 2017, 21:13","rock,alternative,alternative rock,90s,seen live,pop,post-grunge,indie,pop rock,third eye blind"
Imogen Heap,Speak for Yourself,Just For Now,"29 Dec 2017, 21:10","female vocalists,indie,electronic,singer-songwriter,alternative,electronica,indie pop,british,pop,seen live"
We Were Promised Jetpacks,These Four Walls,Quiet Little Voices,"29 Dec 2017, 21:05","indie rock,seen live,indie,Scottish,rock,scotland,post-punk,british,alternative,post-rock"
Future Islands,Singles,Seasons (Waiting on You),"29 Dec 2017, 21:02","seen live,new wave,electronic,experimental,synthpop,Electro Pop,Neo Soul,american,indie,electropop"
Death Cab for Cutie,Plans,What Sarah Said,"29 Dec 2017, 20:55","indie,indie rock,alternative,seen live,rock,emo,indie pop,alternative rock,death cab for cutie,american"
Pixies,Doolittle,Monkey Gone to Heaven,"29 Dec 2017, 20:52","alternative,indie,rock,alternative rock,indie rock,seen live,punk,Grunge,80s,post-punk"
Kanye West,The Life Of Pablo,Famous,"29 Dec 2017, 20:49","Hip-Hop,rap,hip hop,rnb,Kanye West,seen live,Gay Fish,american,pop,chicago"
Radiator Hospital,Something Wild,Our Song,"29 Dec 2017, 20:47","Lo-Fi,pop punk,seen live,indie,power pop,punk,indie rock,twee pop,Philly,Philadelphia"
Taylor Swift,Fearless,You Belong with Me,"29 Dec 2017, 17:45","country,pop,female vocalists,singer-songwriter,acoustic,taylor swift,country pop,american,seen live,female"
Taylor Swift,Fearless,Love Story,"29 Dec 2017, 17:20","country,pop,female vocalists,singer-songwriter,acoustic,taylor swift,country pop,american,seen live,female"
Lana Del Rey,Born to Die - The Paradise Edition,Ride,"29 Dec 2017, 17:15","female vocalists,indie,indie pop,pop,alternative,american,dream pop,seen live,singer-songwriter,trip-hop"
Pinegrove,Everything So Far,Problems,"29 Dec 2017, 13:45","seen live,indie,indie rock,Alt-country,emo,midwest emo,americana,under 2000 listeners,new jersey,Montclair"
Pinegrove,Everything So Far,Problems,"29 Dec 2017, 13:44","seen live,indie,indie rock,Alt-country,emo,midwest emo,americana,under 2000 listeners,new jersey,Montclair"
Pinegrove,Everything So Far,Angelina,"29 Dec 2017, 13:42","seen live,indie,indie rock,Alt-country,emo,midwest emo,americana,under 2000 listeners,new jersey,Montclair"
Foxing,The Albatross,Bloodhound,"29 Dec 2017, 13:38","emo,math rock,post-rock,indie,midwest emo,seen live,indie rock,post-hardcore,rock,chamber pop"
Coldplay,Prospekt's March EP,Postcards from Far Away,"27 Dec 2017, 23:38","rock,alternative,britpop,alternative rock,indie,british,seen live,Coldplay,pop,indie rock"
Shovels & Rope,St. Anne's Parade,St. Anne's Parade,"27 Dec 2017, 04:06","Alt-country,folk,indie,country,acoustic,seen live,americana,american,indie folk,All"
Hozier,Hozier,Cherry Wine - Live,"27 Dec 2017, 04:02","blues,indie,soul,singer-songwriter,irish,seen live,indie rock,rock,alternative,folk"
Hozier,Hozier (Special Edition),Jackie and Wilson,"27 Dec 2017, 03:58","blues,indie,soul,singer-songwriter,irish,seen live,indie rock,rock,alternative,folk"
Vance Joy,Dream Your Life Away (Special Edition),Mess Is Mine,"27 Dec 2017, 03:54","folk,indie,singer-songwriter,australian,acoustic,seen live,indie folk,male vocalists,alternative,pop"
Of Monsters and Men,Beneath the Skin,Crystals,"27 Dec 2017, 03:50","indie,folk,indie pop,icelandic,seen live,iceland,indie folk,alternative,indie rock,pop"
George Ezra,Wanted on Voyage,Blame It on Me,"27 Dec 2017, 03:47","indie,folk,singer-songwriter,british,seen live,indie folk,male vocalists,rock,UK,blues"
Benjamin Francis Leftwich,Last Smoke Before The Snowstorm,Atlas Hands,"27 Dec 2017, 03:44","folk,singer-songwriter,indie,indie folk,british,seen live,acoustic,Benjamin Francis Leftwich,alternative,indie pop"
Bright Eyes,"I'm Wide Awake, It's Morning",First Day of My Life,"27 Dec 2017, 03:41","indie,singer-songwriter,folk,seen live,indie rock,emo,alternative,rock,acoustic,Bright Eyes"
Lord Huron,Strange Trails,The Night We Met,"27 Dec 2017, 03:38","folk,seen live,psychedelic,indie,indie pop,lionkingcore,indie folk,american,singer-songwriter,male vocalists"
Mandolin Orange,Blindfaller,Lonesome Whistle,"27 Dec 2017, 03:34","folk,americana,progressive bluegrass,seen live,Alt-country,bluegrass,North Carolina,USA,male vocalists,NC Folk"
Vance Joy,Dream Your Life Away (Special Edition),Georgia,"27 Dec 2017, 03:30","folk,indie,singer-songwriter,australian,acoustic,seen live,indie folk,male vocalists,alternative,pop"
Vance Joy,God Loves You When You're Dancing,Play With Fire,"27 Dec 2017, 03:26","folk,indie,singer-songwriter,australian,acoustic,seen live,indie folk,male vocalists,alternative,pop"
Fountains of Wayne,Welcome Interstate Managers,Valley Winter Song,"27 Dec 2017, 03:22","power pop,rock,alternative,indie,pop,indie rock,seen live,alternative rock,indie pop,pop rock"
The Lumineers,Ophelia,Ophelia,"27 Dec 2017, 03:19","folk,indie,folk rock,american,rock,seen live,indie folk,alternative,americana,indie pop"
Sturgill Simpson,A Sailor's Guide to Earth,In Bloom,"27 Dec 2017, 03:03","country,outlaw country,singer-songwriter,seen live,americana,Alt-country,Nashville,alternative country,Tennessee,soul"
The Lumineers,The Lumineers,Flowers in Your Hair,"27 Dec 2017, 03:01","folk,indie,folk rock,american,rock,seen live,indie folk,alternative,americana,indie pop"
Milo Greene,Milo Greene,1957,"27 Dec 2017, 02:57","indie,folk,acoustic,indie folk,seen live,sunshine,american,alternative,los angeles,pop"
Kaleo,A/B,All The Pretty Girls,"27 Dec 2017, 02:53","rock,seen live,icelandic,blues rock,folk,alternative rock,iceland,indie rock,folk rock,indie"
Bon Iver,"For Emma, Forever Ago",Skinny Love,"27 Dec 2017, 02:49","folk,indie,singer-songwriter,acoustic,Lo-Fi,seen live,indie folk,american,alternative,Alt-country"
Declan Mckenna,Brazil,Brazil,"27 Dec 2017, 02:45","seen live,indie,electronic,indie pop,indie rock,synthpop,pop,UK,pop rock,rock"
The Strumbellas,Hope,Spirits,"27 Dec 2017, 02:41","folk,indie,country,seen live,indie rock,Canadian,alternative,Alt-country,folk rock,toronto"
Dawes,Nothing Is Wrong / North Hills,A Little Bit Of Everything,"27 Dec 2017, 02:36","seen live,folk,indie,indie rock,folk rock,acoustic,California,rock,americana,american"
Sarah Jarosz,Build Me Up From Bones,Build Me Up From Bones,"27 Dec 2017, 02:32","folk,bluegrass,singer-songwriter,female vocalists,americana,indie,acoustic,Alt-country,mandolin,seen live"
Dustin Tebbutt,The Breach EP,The Breach,"27 Dec 2017, 02:28","indie,singer-songwriter,australian,alternative rock,acoustic,seen live,KuRt,australia,check out,abuse"
The Stray Birds,The Stray Birds,Dream in Blue,"27 Dec 2017, 02:24","folk,americana,acoustic,american,seen live,country,female vocalists,singer-songwriter,USA,bluegrass"
Grizfolk,Waking Up The Giants,Waiting For You,"27 Dec 2017, 02:20","seen live,indie,indie pop,aternative rock,alternative rock,get,2014,All,ArtistToKnow,corporate indie"
Shakey Graves,And the War Came,Dearly Departed (feat. EsmÌ© Patterson),"27 Dec 2017, 02:17","folk,americana,Lo-Fi,seen live,singer-songwriter,Mellow,texas,indie,USA,blues"
George Ezra,Wanted on Voyage,Barcelona,"27 Dec 2017, 02:13","indie,folk,singer-songwriter,british,seen live,indie folk,male vocalists,rock,UK,blues"
Lord Huron,Lonesome Dreams,Ends of the Earth,"27 Dec 2017, 02:09","folk,seen live,psychedelic,indie,indie pop,lionkingcore,indie folk,american,singer-songwriter,male vocalists"
Lana Del Rey,Born To Die (Bonus Track Version),Lucky Ones,"27 Dec 2017, 02:05","female vocalists,indie,indie pop,pop,alternative,american,dream pop,seen live,singer-songwriter,trip-hop"
Lana Del Rey,Born To Die (Bonus Track Version),Lolita,"27 Dec 2017, 02:02","female vocalists,indie,indie pop,pop,alternative,american,dream pop,seen live,singer-songwriter,trip-hop"
Lana Del Rey,Born To Die (Bonus Track Version),Without You,"27 Dec 2017, 01:58","female vocalists,indie,indie pop,pop,alternative,american,dream pop,seen live,singer-songwriter,trip-hop"
Lana Del Rey,Born To Die (Bonus Track Version),This Is What Makes Us Girls,"27 Dec 2017, 01:54","female vocalists,indie,indie pop,pop,alternative,american,dream pop,seen live,singer-songwriter,trip-hop"
Lana Del Rey,Born To Die (Bonus Track Version),Summertime Sadness,"27 Dec 2017, 01:49","female vocalists,indie,indie pop,pop,alternative,american,dream pop,seen live,singer-songwriter,trip-hop"
Lana Del Rey,Born To Die (Bonus Track Version),Million Dollar Man,"27 Dec 2017, 01:46","female vocalists,indie,indie pop,pop,alternative,american,dream pop,seen live,singer-songwriter,trip-hop"
Lana Del Rey,Born To Die (Bonus Track Version),Carmen,"27 Dec 2017, 01:41","female vocalists,indie,indie pop,pop,alternative,american,dream pop,seen live,singer-songwriter,trip-hop"
Lana Del Rey,Born To Die (Bonus Track Version),Radio,"27 Dec 2017, 01:38","female vocalists,indie,indie pop,pop,alternative,american,dream pop,seen live,singer-songwriter,trip-hop"
Lana Del Rey,Born To Die (Bonus Track Version),Dark Paradise,"27 Dec 2017, 01:34","female vocalists,indie,indie pop,pop,alternative,american,dream pop,seen live,singer-songwriter,trip-hop"
Lana Del Rey,Born To Die (Bonus Track Version),National Anthem,"27 Dec 2017, 01:11","female vocalists,indie,indie pop,pop,alternative,american,dream pop,seen live,singer-songwriter,trip-hop"
Lana Del Rey,Born To Die (Bonus Track Version),Diet Mountain Dew,"27 Dec 2017, 00:46","female vocalists,indie,indie pop,pop,alternative,american,dream pop,seen live,singer-songwriter,trip-hop"
Lana Del Rey,Born To Die (Bonus Track Version),Video Games,"27 Dec 2017, 00:42","female vocalists,indie,indie pop,pop,alternative,american,dream pop,seen live,singer-songwriter,trip-hop"
Lana Del Rey,Born To Die (Bonus Track Version),Blue Jeans,"27 Dec 2017, 00:38","female vocalists,indie,indie pop,pop,alternative,american,dream pop,seen live,singer-songwriter,trip-hop"
Lana Del Rey,Born To Die (Bonus Track Version),Off to the Races,"27 Dec 2017, 00:33","female vocalists,indie,indie pop,pop,alternative,american,dream pop,seen live,singer-songwriter,trip-hop"
Lana Del Rey,Born To Die (Bonus Track Version),Born to Die,"27 Dec 2017, 00:28","female vocalists,indie,indie pop,pop,alternative,american,dream pop,seen live,singer-songwriter,trip-hop"
Lana Del Rey,Lust for Life,Lust for Life (with The Weeknd),"27 Dec 2017, 00:23","female vocalists,indie,indie pop,pop,alternative,american,dream pop,seen live,singer-songwriter,trip-hop"
Lana Del Rey,Young and Beautiful,Young and Beautiful,"27 Dec 2017, 00:19","female vocalists,indie,indie pop,pop,alternative,american,dream pop,seen live,singer-songwriter,trip-hop"
Lana Del Rey,Lust for Life,Love,"27 Dec 2017, 00:15","female vocalists,indie,indie pop,pop,alternative,american,dream pop,seen live,singer-songwriter,trip-hop"
Great Good Fine OK,Body Diamond,Not Going Home,"27 Dec 2017, 00:10","electronic,synthpop,electropop,dream pop,seen live,electronica,indie,indie pop,Brooklyn,All"
Magic Man,Before The Waves,Paris,"27 Dec 2017, 00:06","electronic,indie pop,indie,synth pop,psychedelic,seen live,Lo-Fi,synthpop,pop,electronica"
The World Is a Beautiful Place & I Am No Longer Afraid to Die,Split,Smoke & Felt,"27 Dec 2017, 00:00","emo,post-rock,indie,indie rock,Twinkle daddies,seen live,post rock,midwest emo,post-hardcore,indie pop"
The Royal Concept,D-D-Dance,D-D-Dance,"26 Dec 2017, 23:56","indie pop,indie,indie rock,swedish,alternative,seen live,rock,pop,electronic,alternative rock"
Smith Westerns,Dye It Blonde,Weekend,"26 Dec 2017, 23:53","Lo-Fi,seen live,Garage Rock,noise pop,indie,garage,indie rock,indie pop,american,Garage Punk"
Mew,Satellites,Satellites,"26 Dec 2017, 23:47","seen live,indie,alternative,indie rock,danish,rock,alternative rock,dream pop,shoegaze,Progressive rock"
Lany,4EVER!,4EVER!,"26 Dec 2017, 23:43","synthpop,electronic,seen live,indie pop,dream pop,electronica,electropop,indie,USA,male vocalists"
She & Him,Classics,Stay Awhile,"26 Dec 2017, 23:40","folk,indie,indie pop,female vocalists,singer-songwriter,seen live,pop,indie folk,american,Alt-country"
Two Door Cinema Club,Tourist History,Come Back Home,"26 Dec 2017, 23:37","indie,electronic,british,alternative,seen live,synth indie rock,indie rock,indie pop,irish,rock"
Timeflies,Are We There Yet,Are We There Yet,"26 Dec 2017, 23:34","Hip-Hop,pop,electro-pop,rap,american,electronic,dance,seen live,hip hop,new york"
The Killers,Sam's Town,When You Were Young,"26 Dec 2017, 23:30","indie,rock,indie rock,alternative,alternative rock,seen live,The Killers,pop,american,britpop"
Death Cab for Cutie,Codes and Keys (Deluxe),You Are a Tourist,"26 Dec 2017, 23:25","indie,indie rock,alternative,seen live,rock,emo,indie pop,alternative rock,death cab for cutie,american"
Gorillaz,Plastic Beach,On Melancholy Hill,"26 Dec 2017, 23:21","alternative,electronic,Hip-Hop,rock,indie,trip-hop,electronica,pop,british,alternative rock"
The Strokes,First Impressions of Earth,Razorblade,"26 Dec 2017, 23:18","indie rock,rock,indie,alternative,alternative rock,seen live,Garage Rock,The Strokes,american,new york"
Portugal. The Man,The Satanic Satanist,People Say,"26 Dec 2017, 23:15","experimental,indie,seen live,indie rock,Progressive,rock,Progressive rock,alternative,psychedelic,american"
Led Zeppelin,Led Zeppelin,Good Times Bad Times,"26 Dec 2017, 23:12","classic rock,rock,hard rock,70s,Progressive rock,blues rock,british,blues,Led Zeppelin,heavy metal"
Vampire Weekend,Vampire Weekend,The Kids Don't Stand a Chance,"26 Dec 2017, 23:08","indie,indie rock,indie pop,seen live,alternative,rock,american,pop,alternative rock,new york"
The Strokes,Angles,Under Cover of Darkness,"26 Dec 2017, 23:04","indie rock,rock,indie,alternative,alternative rock,seen live,Garage Rock,The Strokes,american,new york"
The National,Exile Vilify (From the Game Portal 2) - Single,Exile Vilify,"26 Dec 2017, 22:59","seen live,indie rock,indie,alternative,rock,alternative rock,post-punk,american,Alt-country,Post-punk revival"
Spoon,Ga Ga Ga Ga Ga,You Got Yr. Cherry Bomb,"26 Dec 2017, 22:56","indie,indie rock,seen live,alternative,rock,indie pop,alternative rock,american,austin,spoon"
The Apples in Stereo,New Magnetic Wonder,7 Stars,"26 Dec 2017, 22:53","indie,indie pop,Elephant 6,indie rock,Lo-Fi,seen live,pop,rock,alternative,psychedelic"
blink-182,Enema of the State,Going Away to College,"26 Dec 2017, 22:50","punk rock,pop punk,punk,rock,alternative,seen live,Pop-punk,alternative rock,emo,american"
Wilco,Yankee Hotel Foxtrot,Pot Kettle Black,"26 Dec 2017, 22:46","Alt-country,indie,seen live,indie rock,alternative,rock,folk,americana,alternative rock,wilco"
Mumford & Sons,Sigh No More,The Cave,"26 Dec 2017, 22:42","folk,indie,british,acoustic,seen live,bluegrass,indie folk,folk rock,alternative,Alt-country"
Death Cab for Cutie,Narrow Stairs,Grapevine Fires,"26 Dec 2017, 22:38","indie,indie rock,alternative,seen live,rock,emo,indie pop,alternative rock,death cab for cutie,american"
The Strokes,Is This It,Last Nite,"26 Dec 2017, 22:35","indie rock,rock,indie,alternative,alternative rock,seen live,Garage Rock,The Strokes,american,new york"
The New Pornographers,Together,Moves,"26 Dec 2017, 22:31","indie,indie rock,seen live,Canadian,indie pop,alternative,power pop,rock,pop,canada"
Selena Gomez,For You,The Heart Wants What It Wants,"24 Dec 2017, 04:54","pop,female vocalists,Disney,pop rock,Selena Gomez,dance,american,rnb,electronic,rock"
Selena Gomez & the Scene,When the Sun Goes Down,Love You Like a Love Song,"24 Dec 2017, 04:51","pop,female vocalists,pop rock,Disney,Selena Gomez,rock,dance,american,electronic,teen pop"
Selena Gomez,Bad Liar,Bad Liar,"24 Dec 2017, 04:47","pop,female vocalists,Disney,pop rock,Selena Gomez,dance,american,rnb,electronic,rock"
Selena Gomez,Revival (Deluxe),Hands to Myself,"24 Dec 2017, 04:44","pop,female vocalists,Disney,pop rock,Selena Gomez,dance,american,rnb,electronic,rock"
Ke$ha,Rainbow,Let 'Em Talk,"24 Dec 2017, 04:41","pop,dance,electropop,female vocalists,electronic,american,kesha,whorecore,seen live,female vocalist"
Ke$ha,Cannibal,The Harold Song,"24 Dec 2017, 04:37","pop,dance,electropop,female vocalists,electronic,american,kesha,whorecore,seen live,female vocalist"
Ke$ha,Rainbow,Learn To Let Go,"24 Dec 2017, 04:33","pop,dance,electropop,female vocalists,electronic,american,kesha,whorecore,seen live,female vocalist"
Ke$ha,Rainbow,rainbow,"24 Dec 2017, 04:30","pop,dance,electropop,female vocalists,electronic,american,kesha,whorecore,seen live,female vocalist"
Ke$ha,Warrior (Deluxe Version),C'mon,"24 Dec 2017, 04:26","pop,dance,electropop,female vocalists,electronic,american,kesha,whorecore,seen live,female vocalist"
Ke$ha,Cannibal,We R Who We R,"24 Dec 2017, 04:23","pop,dance,electropop,female vocalists,electronic,american,kesha,whorecore,seen live,female vocalist"
Ke$ha,Animal,TiK ToK,"24 Dec 2017, 04:19","pop,dance,electropop,female vocalists,electronic,american,kesha,whorecore,seen live,female vocalist"
Ke$ha,Animal,Your Love Is My Drug,"24 Dec 2017, 04:16","pop,dance,electropop,female vocalists,electronic,american,kesha,whorecore,seen live,female vocalist"
Ke$ha,Warrior (Deluxe Version),Die Young,"24 Dec 2017, 04:13","pop,dance,electropop,female vocalists,electronic,american,kesha,whorecore,seen live,female vocalist"
Ke$ha,Rainbow,Praying,"24 Dec 2017, 04:09","pop,dance,electropop,female vocalists,electronic,american,kesha,whorecore,seen live,female vocalist"
Lorde,Melodrama,Liability,"24 Dec 2017, 04:06","pop,indie pop,electronic,indie,New Zealand,female vocalists,seen live,alternative,art pop,electropop"
Lorde,"Homemade Dynamite (Feat. Khalid, Post Malone & SZA) [REMIX]","Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX","24 Dec 2017, 04:02","pop,indie pop,electronic,indie,New Zealand,female vocalists,seen live,alternative,art pop,electropop"
Lorde,Melodrama,Homemade Dynamite,"24 Dec 2017, 03:59","pop,indie pop,electronic,indie,New Zealand,female vocalists,seen live,alternative,art pop,electropop"
Lorde,Pure Heroine (Extended),Team,"24 Dec 2017, 03:56","pop,indie pop,electronic,indie,New Zealand,female vocalists,seen live,alternative,art pop,electropop"
Lorde,Pure Heroine (Extended),400 Lux,"24 Dec 2017, 03:52","pop,indie pop,electronic,indie,New Zealand,female vocalists,seen live,alternative,art pop,electropop"
Lorde,Pure Heroine (Extended),Buzzcut Season,"24 Dec 2017, 03:48","pop,indie pop,electronic,indie,New Zealand,female vocalists,seen live,alternative,art pop,electropop"
Lorde,Melodrama,Supercut,"24 Dec 2017, 02:11","pop,indie pop,electronic,indie,New Zealand,female vocalists,seen live,alternative,art pop,electropop"
Lorde,Melodrama,Perfect Places,"24 Dec 2017, 00:49","pop,indie pop,electronic,indie,New Zealand,female vocalists,seen live,alternative,art pop,electropop"
Lorde,Pure Heroine (Extended),A World Alone,"24 Dec 2017, 00:35","pop,indie pop,electronic,indie,New Zealand,female vocalists,seen live,alternative,art pop,electropop"
Lorde,Melodrama,The Louvre,"24 Dec 2017, 00:30","pop,indie pop,electronic,indie,New Zealand,female vocalists,seen live,alternative,art pop,electropop"
